Fecha,BCA,BCS,CEN,NES,NOR,NTE,OCC,ORI,PEN,Nacional
2020-01-01,22.78551658,5.089055384,113.8709228,85.17518055,38.26154567,51.14821238,122.2977368,105.165147,29.28162115,572.7932601
2020-01-02,28.13916099,5.549635302,139.2745028,106.2003542,42.03107136,58.95328045,152.6144501,122.0908268,33.04154343,687.801257
2020-01-03,30.22711855,5.701441795,148.5480838,115.259387,44.31487454,62.69193548,169.4669424,129.8249668,35.66440226,741.7149409
2020-01-04,30.63180053,5.783042365,149.9065406,119.6269077,45.01269473,64.3177758,172.2403294,127.2989849,33.6330516,748.4517167
2020-01-05,30.97259571,5.746282719,151.2320505,120.0043853,44.853775,67.82794813,175.9414255,121.6008088,29.07680738,746.0656939
2020-01-06,32.36008732,5.796564231,154.5853001,122.7375528,46.14489844,66.00034856,179.5342198,124.3585811,28.46664662,759.9741797
2020-01-07,32.38449585,5.841480047,158.8893882,120.2620945,46.51020758,66.01995231,182.766456,124.0492869,28.24028305,765.2923812
2020-01-08,33.06980828,5.886984029,160.1591257,122.1272669,46.63666561,66.96553823,184.9474872,126.4388187,27.96955931,774.4874751
2020-01-09,33.3132667,5.922113861,161.9469158,125.074049,46.62884398,65.73245394,186.1887571,126.4923287,29.94527773,781.5036366
2020-01-10,33.10819928,5.77069401,161.4662284,127.5406523,46.40124052,65.20063487,185.8121041,128.4061159,32.59844611,786.5771656
2020-01-11,32.92513148,5.719464693,161.9737541,125.1578882,45.6168284,66.5156784,184.2033653,129.0808759,34.68286098,785.7582098
2020-01-12,32.49101093,5.618948424,161.9074023,123.0744111,45.54832309,67.75007894,181.0561106,127.0610343,35.27934178,778.8623213
2020-01-13,33.40936517,5.758198755,161.8825045,127.8102932,47.2363189,66.71896775,186.6829457,131.233008,35.19487379,795.977382
2020-01-14,33.58848677,5.86475803,162.5930364,129.201695,47.51997597,68.41303759,187.27149,133.6996762,35.53339937,803.9265535
2020-01-15,34.17439245,5.827237577,163.4912825,131.6105536,48.34129294,62.15321467,189.5241144,137.3023737,34.70808324,807.266671
2020-01-16,34.14078553,5.758872564,162.6232816,132.0772609,48.1959822,66.29122032,189.520084,132.9656248,33.14616996,804.9242077
2020-01-17,33.93152995,5.906687737,162.0062805,132.3260767,48.25302633,65.27373632,190.4658835,132.5703588,33.933856,804.9229203
2020-01-18,33.01771908,5.952822775,160.4712302,131.2517938,48.36456511,64.32689031,188.4280979,131.6081603,33.57569755,796.9106738
2020-01-19,31.5031227,5.910343348,162.416782,127.2587385,47.87820949,66.02293608,186.2883784,131.2839367,33.2658904,790.915017
2020-01-20,33.97858863,5.917392076,163.6011018,128.5966914,48.93771554,66.73495671,187.6318433,128.2293534,31.64529957,795.3062607
2020-01-21,34.21941856,6.021396045,161.8765059,130.8562033,48.19335595,65.87417097,185.5511086,123.9290619,27.75412716,784.739865
2020-01-22,33.77925231,6.043642835,162.457864,130.4179659,48.54758718,65.84498459,186.8424956,124.2724284,26.20241425,784.7699755
2020-01-23,33.55566863,5.974650359,164.5565364,127.3006442,48.24152234,65.41209515,187.6566012,125.791767,26.7194082,785.5024778
2020-01-24,32.87620293,5.880368415,163.6062814,125.8646219,47.61676099,66.0010033,186.7428309,129.2667265,28.17937005,786.3306741
2020-01-25,32.1280389,5.920489952,160.0610441,127.4610824,47.69690996,63.55583657,184.2213931,128.4611825,28.94473002,778.3921775
2020-01-26,31.4665454,5.898557823,161.1602243,123.7448007,47.08889327,62.01810373,181.0171887,130.4322584,29.59479841,771.6588827
2020-01-27,32.63066073,5.918307227,165.4117744,128.2846632,47.74636381,62.28421763,184.9898819,133.1941966,31.81073148,792.3171293
2020-01-28,33.25711371,5.894083928,160.198179,128.4487325,48.31812766,61.89413321,185.3653167,133.8654609,33.29189028,790.7103121
2020-01-29,33.1371781,5.748663711,160.3434315,126.1440672,48.17001464,63.49367539,186.4614829,132.3278313,33.38197963,789.364358
2020-01-30,32.94580594,5.757186956,161.9630396,127.0362828,47.75448032,63.02575725,187.0625237,130.6191783,31.98179095,788.3163896
2020-01-31,32.79418064,5.725902679,159.9870028,126.0778256,47.23924545,63.08331997,187.1828959,133.2957614,34.43570175,789.9950116
2020-02-01,31.87403485,5.803282209,157.2232747,123.7837754,46.8871463,62.05572241,184.2645275,129.1356224,32.29382746,773.3113337
2020-02-02,30.35300308,5.758674995,152.1696774,120.2004264,45.85404867,61.53689626,179.2649192,121.1661767,27.13152979,742.2107665
2020-02-03,27.13683049,5.660699354,141.0335293,106.4325626,43.57021487,54.20112083,157.966593,115.4666346,26.09477723,677.5712283
2020-02-04,31.72048369,5.723855317,154.8431081,123.6170987,46.83167548,59.05696713,171.4512461,126.8805263,31.590483,751.8341135
2020-02-05,33.83625063,5.523293384,159.6511293,125.7247006,47.7253011,63.03550771,181.2012821,133.7524256,35.2457174,785.776836
2020-02-06,33.6605337,5.476228076,157.4756391,126.7358139,46.98833746,63.78865611,177.6792739,133.3531858,36.1357097,781.3481299
2020-02-07,33.31313881,5.540416763,155.9411838,127.9755122,46.72210801,63.83679501,179.5518981,129.6781929,32.83465431,775.5967765
2020-02-08,32.6317586,5.692452661,156.4936702,129.2651654,46.95560563,62.85943477,181.6493633,129.5125918,33.85464103,778.8090528
2020-02-09,32.32400979,5.677200722,156.5781307,131.0846703,46.16502885,61.6859876,178.4118351,132.2176722,35.24271984,778.7407947
2020-02-10,33.98586256,5.832228751,160.753499,138.9967095,47.73178459,62.0326168,184.7349107,135.0069557,36.32219823,805.5528462
2020-02-11,33.26979358,5.808426432,161.3735568,134.4595518,47.7063838,63.89509213,185.6706552,140.0974408,37.10081058,809.5185647
2020-02-12,33.51627804,5.724024355,161.8783143,131.3941063,47.56007548,64.91926887,188.1858643,141.5013231,37.96092552,812.7117257
2020-02-13,33.32488445,5.723867276,159.9837265,128.3537353,47.37711712,64.99027165,188.2466162,138.7498354,38.18040482,804.9877172
2020-02-14,33.00419508,5.806284179,160.3678093,130.6230037,47.0316642,65.62994325,189.1437619,132.9725094,38.04134322,802.8178533
2020-02-15,32.29767554,5.854134257,157.4607439,129.4806056,46.89907327,65.14069417,189.2955109,133.1014575,37.587246,797.0530805
2020-02-16,31.56766859,5.897453692,155.3089582,125.7175163,47.34129583,64.73394195,188.2316794,134.0734931,36.28474408,788.4487765
2020-02-17,32.68412495,5.920466638,160.0313669,135.3858217,49.03161378,65.42967714,194.6887437,138.6604785,36.27546819,818.1530142
2020-02-18,32.86257936,6.154786917,162.167846,137.7137414,50.81347865,64.70992467,194.9447065,139.2935339,37.39514142,826.2862327
2020-02-19,33.40028483,6.311920705,159.5969918,132.9780995,51.07482092,66.11199275,197.7973538,141.083177,38.67821616,827.1331732
2020-02-20,33.3164563,6.347407915,161.0178057,131.2375298,51.21284671,66.54575966,198.5856799,141.2208628,38.58128557,828.1255303
2020-02-21,33.16818715,6.419566062,161.4073986,132.8837369,51.86415012,67.27902572,198.1091675,135.9570641,37.16957106,824.45949
2020-02-22,32.20717564,6.502492749,160.841379,132.2788768,52.06916507,66.77690845,197.6982361,126.9131288,31.97181817,807.1808878
2020-02-23,31.77162492,6.304374872,157.833272,126.1881244,49.89423588,66.05950731,195.1739238,125.7706575,29.95477561,787.4701449
2020-02-24,33.56421257,6.105393499,163.8257774,134.2502279,49.84999869,67.12480127,197.0969858,132.4005847,33.74954653,817.9900051
2020-02-25,33.18380658,6.066251807,163.2434871,131.8078547,50.27946901,67.2065417,197.1296589,135.3779777,35.96119748,820.5427113
2020-02-26,31.49630386,6.083912302,160.7623328,124.898475,50.98300354,68.98689534,195.6258294,132.355225,36.64404307,808.0202188
2020-02-27,32.24020914,6.063175291,159.2358393,129.2612306,50.64764762,69.52046683,193.2507568,124.7648763,29.16761177,794.4748334
2020-02-28,32.632181,6.123355638,159.6749575,130.0096511,51.27677414,69.63164084,194.3831619,125.7559646,27.43424372,797.3237938
2020-02-29,31.62705166,6.162302681,159.6507453,129.427436,50.89132911,68.29943509,194.3124286,127.2059601,27.22147519,794.7662086
2020-03-01,30.76405357,6.187866764,158.5798525,128.5766077,49.16560838,66.42272677,191.9093709,125.7251347,27.74289847,783.5163621
2020-03-02,31.92961884,6.200460128,163.7384687,137.9291478,50.3054005,67.55892039,195.9709528,134.7594491,32.31321264,820.7208233
2020-03-03,32.44994535,5.867631366,164.0916817,137.9157822,48.57075521,66.57169627,196.4730303,141.7453132,37.43132316,831.386544
2020-03-04,32.85731569,5.815495124,165.2642305,138.7570864,48.38480162,67.26628835,197.9516258,147.0261312,39.71616804,843.165648
2020-03-05,33.23032941,5.957113585,162.7203919,128.2202492,49.35348996,67.79788382,198.6700035,139.866614,39.61581565,825.5324544
2020-03-06,33.14405334,5.997968022,162.4982619,128.8772222,49.78937296,68.08089003,197.2759456,132.3168967,35.02277963,813.2699141
2020-03-07,32.29949062,6.021372899,160.400855,128.3354426,51.00231045,66.94787822,196.8530167,129.8057243,31.57384184,803.2351656
2020-03-08,30.12385039,5.911488377,159.7919379,127.1377452,48.94044679,66.79665461,193.5861665,127.9730646,30.56177468,789.4255125
2020-03-09,32.96121993,6.164178506,162.0472185,131.5295118,50.55129595,67.12948446,196.4710712,131.888276,31.75094695,810.4790116
2020-03-10,32.47073158,6.297712864,166.607428,133.3560323,52.2694193,67.76058141,197.9678382,135.2104547,33.48383011,825.7249402
2020-03-11,32.58731525,6.579516296,166.6548437,138.8100332,54.66640926,68.80532701,201.0259257,138.3007957,34.26894269,841.8886021
2020-03-12,32.39566711,6.84729841,167.238443,142.5079419,53.33292088,67.8249807,203.0190904,139.4124505,34.78809583,847.531182
2020-03-13,32.40659174,6.661755427,169.0947352,147.4604463,52.47541229,67.94974785,203.841766,145.6499367,36.01856826,861.7926649
2020-03-14,31.66017189,6.4730828,166.0804191,150.4150083,52.04988855,68.27535435,200.9007812,147.8728006,37.31525944,861.0062978
