Fecha,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nacional,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-01-18,185.00172,31.852102,5.9589863,32.731503,131.06375,62.812958,156.67404,126.88351,185.00172,62.812958,185.00172,131.06375,156.67404,185.00172,156.67404,185.00172,156.67404,781.14862,185.00172,126.88351,131.06375,131.06375,185.00172,32.731503,185.00172,48.170055,48.170055,131.06375,126.88351,131.06375,131.06375,32.731503,185.00172
2020-01-19,161.91733,28.261881,5.7228231,31.106779,124.29671,58.344463,146.77718,111.5942,161.91733,58.344463,161.91733,124.29671,146.77718,161.91733,146.77718,161.91733,146.77718,713.42493,161.91733,111.5942,124.29671,124.29671,161.91733,31.106779,161.91733,45.403599,45.403599,124.29671,111.5942,124.29671,124.29671,31.106779,161.91733
2020-01-20,186.02669,34.142418,5.9442177,31.893801,127.52134,66.205048,163.3786,128.95184,186.02669,66.205048,186.02669,127.52134,163.3786,186.02669,163.3786,186.02669,163.3786,793.0177,186.02669,128.95184,127.52134,127.52134,186.02669,31.893801,186.02669,48.953747,48.953747,127.52134,128.95184,127.52134,127.52134,31.893801,186.02669
2020-01-21,193.37904,35.2183,6.0525446,28.289742,125.48037,68.291519,166.60484,136.63945,193.37904,68.291519,193.37904,125.48037,166.60484,193.37904,166.60484,193.37904,166.60484,808.61584,193.37904,136.63945,125.48037,125.48037,193.37904,28.289742,193.37904,48.660061,48.660061,125.48037,136.63945,125.48037,125.48037,28.289742,193.37904
2020-01-22,194.55493,34.937073,6.0606518,26.824236,126.3421,68.39753,167.62698,135.45084,194.55493,68.39753,194.55493,126.3421,167.62698,194.55493,167.62698,194.55493,167.62698,809.29797,194.55493,135.45084,126.3421,126.3421,194.55493,26.824236,194.55493,49.103619,49.103619,126.3421,135.45084,126.3421,126.3421,26.824236,194.55493
2020-01-23,195.39326,34.948559,6.0132599,27.363081,128.35556,68.12574,170.02927,132.13945,195.39326,68.12574,195.39326,128.35556,170.02927,195.39326,170.02927,195.39326,170.02927,811.48242,195.39326,132.13945,128.35556,128.35556,195.39326,27.363081,195.39326,49.11425,49.11425,128.35556,132.13945,128.35556,128.35556,27.363081,195.39326
2020-01-24,192.8811,33.809597,5.9492226,28.60417,130.98947,68.035667,168.02866,129.99492,192.8811,68.035667,192.8811,130.98947,168.02866,192.8811,168.02866,192.8811,168.02866,806.67865,192.8811,129.99492,130.98947,130.98947,192.8811,28.60417,192.8811,48.385845,48.385845,130.98947,129.99492,130.98947,130.98947,28.60417,192.8811
2020-01-25,180.87151,30.99383,5.92662,28.216972,127.92979,62.060051,156.27356,123.21896,180.87151,62.060051,180.87151,127.92979,156.27356,180.87151,156.27356,180.87151,156.27356,762.9964,180.87151,123.21896,127.92979,127.92979,180.87151,28.216972,180.87151,47.505085,47.505085,127.92979,123.21896,127.92979,127.92979,28.216972,180.87151
2020-01-26,157.33574,28.229067,5.7114115,27.673958,123.49036,54.805393,145.64162,108.5128,157.33574,54.805393,157.33574,123.49036,145.64162,157.33574,145.64162,157.33574,145.64162,696.05542,157.33574,108.5128,123.49036,123.49036,157.33574,27.673958,157.33574,44.655079,44.655079,123.49036,108.5128,123.49036,123.49036,27.673958,157.33574
2020-01-27,183.40733,32.787991,5.945137,32.060532,132.45877,61.78965,165.18681,128.63895,183.40733,61.78965,183.40733,132.45877,165.18681,183.40733,165.18681,183.40733,165.18681,790.03717,183.40733,128.63895,132.45877,132.45877,183.40733,32.060532,183.40733,47.762005,47.762005,132.45877,128.63895,132.45877,132.45877,32.060532,183.40733
2020-01-28,193.18541,34.227905,5.9245739,33.934376,135.54115,64.165428,164.87749,134.12558,193.18541,64.165428,193.18541,135.54115,164.87749,193.18541,164.87749,193.18541,164.87749,814.76794,193.18541,134.12558,135.54115,135.54115,193.18541,33.934376,193.18541,48.786041,48.786041,135.54115,134.12558,135.54115,135.54115,33.934376,193.18541
2020-01-29,194.15819,34.272991,5.7648425,34.174183,134.53166,65.95507,165.44527,131.01201,194.15819,65.95507,194.15819,134.53166,165.44527,194.15819,165.44527,194.15819,165.44527,814.03595,194.15819,131.01201,134.53166,134.53166,194.15819,34.174183,194.15819,48.721722,48.721722,134.53166,131.01201,134.53166,134.53166,34.174183,194.15819
2020-01-30,194.77469,34.313381,5.7943912,32.752235,133.28136,65.640404,167.34952,131.86504,194.77469,65.640404,194.77469,133.28136,167.34952,194.77469,167.34952,194.77469,167.34952,814.3894,194.77469,131.86504,133.28136,133.28136,194.77469,32.752235,194.77469,48.618397,48.618397,133.28136,131.86504,133.28136,133.28136,32.752235,194.77469
2020-01-31,193.33563,33.725246,5.7929482,34.954815,135.0722,65.028038,164.31155,130.21512,193.33563,65.028038,193.33563,135.0722,164.31155,193.33563,164.31155,193.33563,164.31155,810.43781,193.33563,130.21512,135.0722,135.0722,193.33563,34.954815,193.33563,48.002232,48.002232,135.0722,130.21512,135.0722,135.0722,34.954815,193.33563
2020-02-01,180.91386,30.748793,5.8092909,31.481863,128.60144,60.595242,153.50294,119.66404,180.91386,60.595242,180.91386,128.60144,153.50294,180.91386,153.50294,180.91386,153.50294,758.01605,180.91386,119.66404,128.60144,128.60144,180.91386,31.481863,180.91386,46.698578,46.698578,128.60144,119.66404,128.60144,128.60144,31.481863,180.91386
2020-02-02,155.81271,27.230093,5.5759668,25.370567,114.71744,54.38015,137.5168,105.40471,155.81271,54.38015,155.81271,114.71744,137.5168,155.81271,137.5168,155.81271,137.5168,669.49249,155.81271,105.40471,114.71744,114.71744,155.81271,25.370567,155.81271,43.484058,43.484058,114.71744,105.40471,114.71744,114.71744,25.370567,155.81271
2020-02-03,156.61522,27.267672,5.6863613,26.299692,114.82909,53.770737,140.84172,106.7265,156.61522,53.770737,156.61522,114.82909,140.84172,156.61522,140.84172,156.61522,140.84172,675.62146,156.61522,106.7265,114.82909,114.82909,156.61522,26.299692,156.61522,43.584488,43.584488,114.82909,106.7265,114.82909,114.82909,26.299692,156.61522
2020-02-04,178.68434,32.64642,5.7534647,32.200134,128.46878,61.224148,159.366,129.08041,178.68434,61.224148,178.68434,128.46878,159.366,178.68434,159.366,178.68434,159.366,774.70892,178.68434,129.08041,128.46878,128.46878,178.68434,32.200134,178.68434,47.285194,47.285194,128.46878,129.08041,128.46878,128.46878,32.200134,178.68434
2020-02-05,188.68086,34.996025,5.5388379,36.08215,135.97998,65.479141,164.73094,130.57646,188.68086,65.479141,188.68086,135.97998,164.73094,188.68086,164.73094,188.68086,164.73094,810.3363,188.68086,130.57646,135.97998,135.97998,188.68086,36.08215,188.68086,48.271915,48.271915,135.97998,130.57646,135.97998,135.97998,36.08215,188.68086
2020-02-06,185.00459,35.057777,5.5116167,37.006222,136.07109,66.434952,162.71288,131.55315,185.00459,66.434952,185.00459,136.07109,162.71288,185.00459,162.71288,185.00459,162.71288,807.19067,185.00459,131.55315,136.07109,136.07109,185.00459,37.006222,185.00459,47.838394,47.838394,136.07109,131.55315,136.07109,136.07109,37.006222,185.00459
2020-02-07,185.4538,34.258938,5.6052904,33.329632,131.40642,65.804741,160.15637,132.17508,185.4538,65.804741,185.4538,131.40642,160.15637,185.4538,160.15637,185.4538,160.15637,795.66699,185.4538,132.17508,131.40642,131.40642,185.4538,33.329632,185.4538,47.476742,47.476742,131.40642,132.17508,131.40642,131.40642,33.329632,185.4538
2020-02-08,178.34625,31.479767,5.6983466,33.003433,128.97685,61.380039,152.7906,124.963,178.34625,61.380039,178.34625,128.97685,152.7906,178.34625,152.7906,178.34625,152.7906,763.40503,178.34625,124.963,128.97685,128.97685,178.34625,33.003433,178.34625,46.766762,46.766762,128.97685,124.963,128.97685,128.97685,33.003433,178.34625
2020-02-09,155.07123,28.99831,5.4970775,32.955303,125.18075,54.511902,141.50075,114.94919,155.07123,54.511902,155.07123,125.18075,141.50075,155.07123,141.50075,155.07123,141.50075,702.44348,155.07123,114.94919,125.18075,125.18075,155.07123,32.955303,155.07123,43.778965,43.778965,125.18075,114.94919,125.18075,125.18075,32.955303,155.07123
2020-02-10,183.15454,34.149727,5.8586683,36.607426,134.26152,61.540047,160.53487,139.38058,183.15454,61.540047,183.15454,134.26152,160.53487,183.15454,160.53487,183.15454,160.53487,803.2348,183.15454,139.38058,134.26152,134.26152,183.15454,36.607426,183.15454,47.747421,47.747421,134.26152,139.38058,134.26152,134.26152,36.607426,183.15454
2020-02-11,193.50363,34.240955,5.8384733,37.816803,141.85114,66.239815,166.0872,140.40205,193.50363,66.239815,193.50363,141.85114,166.0872,193.50363,166.0872,193.50363,166.0872,834.14844,193.50363,140.40205,141.85114,141.85114,193.50363,37.816803,193.50363,48.168373,48.168373,141.85114,140.40205,141.85114,141.85114,37.816803,193.50363
2020-02-12,195.95375,34.665085,5.7401338,38.861794,143.85793,67.435928,167.02899,136.46465,195.95375,67.435928,195.95375,143.85793,167.02899,195.95375,167.02899,195.95375,167.02899,838.11304,195.95375,136.46465,143.85793,143.85793,195.95375,38.861794,195.95375,48.104797,48.104797,143.85793,136.46465,143.85793,143.85793,38.861794,195.95375
2020-02-13,196.0076,34.708195,5.7608562,39.100174,141.57773,67.686417,165.30438,133.23257,196.0076,67.686417,196.0076,141.57773,165.30438,196.0076,165.30438,196.0076,165.30438,831.61212,196.0076,133.23257,141.57773,141.57773,196.0076,39.100174,196.0076,48.234207,48.234207,141.57773,133.23257,141.57773,141.57773,39.100174,196.0076
2020-02-14,195.36095,33.941223,5.8742709,38.614811,134.74464,67.653168,164.70265,134.90945,195.36095,67.653168,195.36095,134.74464,164.70265,195.36095,164.70265,195.36095,164.70265,823.59247,195.36095,134.90945,134.74464,134.74464,195.36095,38.614811,195.36095,47.791298,47.791298,134.74464,134.90945,134.74464,134.74464,38.614811,195.36095
2020-02-15,185.85336,31.157478,5.8601956,36.642189,132.55087,63.607609,153.73479,125.17127,185.85336,63.607609,185.85336,132.55087,153.73479,185.85336,153.73479,185.85336,153.73479,781.28821,185.85336,125.17127,132.55087,132.55087,185.85336,36.642189,185.85336,46.710457,46.710457,132.55087,125.17127,132.55087,132.55087,36.642189,185.85336
2020-02-16,163.6064,28.319786,5.7103424,33.929695,126.9378,57.205379,140.35379,110.24269,163.6064,57.205379,163.6064,126.9378,140.35379,163.6064,140.35379,163.6064,140.35379,711.20032,163.6064,110.24269,126.9378,126.9378,163.6064,33.929695,163.6064,44.894436,44.894436,126.9378,110.24269,126.9378,126.9378,33.929695,163.6064
